player1;player2;bot_type;game_number;nodes;depth;move;cache_hits;time;cache_size;move_number;round_number
FINAL1;NOTABUG;final1;10.0;321976.0;11.0; (5 , 8): 40;565.0;973.0;102547.0;16.0;8.0
FINAL1;NOTABUG;final1;10.0;239825.0;10.0; (3 , 8): -11;351.0;737.0;83828.0;18.0;9.0
FINAL1;NOTABUG;final1;10.0;417365.0;9.0; (5 , 2): -6;775.0;1274.0;98527.0;20.0;10.0
FINAL1;NOTABUG;final1;10.0;413675.0;9.0; (5 , 6): 8;1150.0;1419.0;112440.0;22.0;11.0
FINAL1;NOTABUG;final1;10.0;250398.0;9.0; (3 , 2): 18;545.0;865.0;52778.0;24.0;12.0
FINAL1;NOTABUG;final1;10.0;384895.0;11.0; (3 , 0): 28;1592.0;1222.0;91913.0;26.0;13.0
FINAL1;NOTABUG;final1;10.0;303387.0;9.0; (6 , 6): -99;680.0;956.0;81397.0;28.0;14.0
FINAL1;NOTABUG;final1;10.0;216596.0;12.0; (1 , 8): -96;1096.0;871.0;100902.0;30.0;15.0
FINAL1;NOTABUG;final1;11.0;0.0;0.0; (4 , 4): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;11.0;0.0;0.0; (8 , 3): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;11.0;0.0;0.0; (3 , 0): -2147483648;0.0;0.0;0.0;0.0;0.0
FINAL1;NOTABUG;final1;11.0;225321.0;8.0; (0 , 4): 19;589.0;771.0;57542.0;7.0;4.0
FINAL1;NOTABUG;final1;11.0;429290.0;9.0; (7 , 4): 10;2746.0;1311.0;78877.0;9.0;5.0
FINAL1;NOTABUG;final1;11.0;705444.0;10.0; (6 , 8): -3;1658.0;166.0;197780.0;11.0;6.0
FINAL1;NOTABUG;final1;11.0;321954.0;10.0; (7 , 7): 3;787.0;209.0;104735.0;13.0;7.0
FINAL1;NOTABUG;final1;11.0;357191.0;10.0; (1 , 8): 3;858.0;226.0;98305.0;15.0;8.0
